"date","close","volume","open","high","low"
"2018/03/20","229.7500","5015159.0000","223.1900","231.3400","223.0000"
"2018/03/19","222.1800","4013464.0000","224.4800","226.5900","218.6800"
"2018/03/16","225.5500","8706957.0000","227.1800","228.8800","224.0000"
"2018/03/15","218.8700","4420188.0000","220.0000","221.4700","218.0610"
"2018/03/14","218.4400","3352369.0000","220.7500","221.4600","217.6000"
"2018/03/13","219.7600","4726086.0000","223.0000","224.9000","218.4300"
"2018/03/12","220.9400","3172266.0000","222.9700","223.1100","220.3400"
"2018/03/09","221.1100","2639215.0000","218.0000","221.2700","217.1900"
"2018/03/08","216.4000","2357005.0000","218.0300","219.7100","214.8600"
"2018/03/07","216.8600","2769064.0000","211.3300","217.4400","211.0033"
"2018/03/06","212.0100","2122396.0000","212.4400","212.7400","209.8800"
"2018/03/05","211.1600","2058898.0000","208.7500","212.0000","206.9200"
"2018/03/02","209.7900","2607880.0000","203.9600","210.2100","201.7600"
"2018/03/01","206.0300","2624135.0000","210.3200","210.6834","204.4500"
"2018/02/28","209.1300","2324764.0000","210.6900","213.4400","209.1000"
"2018/02/27","208.8200","2329499.0000","211.9900","212.7600","208.2500"
"2018/02/26","212.1500","2418628.0000","211.2900","212.3500","209.2610"
"2018/02/23","209.7400","2340341.0000","204.2200","209.7800","203.3100"
"2018/02/22","202.6100","1541219.0000","203.0700","204.2200","201.6800"
"2018/02/21","202.0900","2037977.0000","204.4500","206.8300","202.0200"
"2018/02/20","202.9800","2669910.0000","200.4600","205.1150","199.1800"
"2018/02/16","201.5600","2172415.0000","202.5200","203.9000","200.7400"
"2018/02/15","202.9700","2218265.0000","198.9700","203.2800","197.1300"
"2018/02/14","197.1300","2531146.0000","192.4800","197.5000","191.9500"
"2018/02/13","193.4800","1956810.0000","190.8500","194.3100","190.3900"
"2018/02/12","192.1500","2824292.0000","189.0000","192.9900","188.5600"
"2018/02/09","187.9900","3816253.0000","187.3300","189.7100","179.3400"
"2018/02/08","185.1600","3851697.0000","192.8400","192.9700","185.0200"
"2018/02/07","192.3400","2941604.0000","193.8700","196.2400","192.0200"
"2018/02/06","194.4700","4471168.0000","186.5900","194.8200","182.1000"
"2018/02/05","190.2700","3757759.0000","194.0600","198.4600","188.0000"
"2018/02/02","195.6400","2560556.0000","197.3300","199.4000","195.4400"
"2018/02/01","199.3800","2363747.0000","199.1200","201.7500","198.0845"
"2018/01/31","199.7600","2638250.0000","197.1300","200.9600","196.7500"
"2018/01/30","196.9000","3330072.0000","197.2500","197.7300","194.8900"
"2018/01/29","198.2300","1926615.0000","200.1100","200.8600","197.8700"
"2018/01/26","201.3000","2326550.0000","198.5000","201.5500","198.2500"
"2018/01/25","197.5100","2566196.0000","198.0800","199.2440","196.0700"
"2018/01/24","197.7800","3242755.0000","201.8200","202.3000","196.5200"
"2018/01/23","200.0900","3943667.0000","202.2900","204.4500","199.4400"
"2018/01/22","197.8400","1695170.0000","195.7000","198.0000","194.4240"
